Dataset,N,Method,Seed,Macro-F1,Weighted-F1,Accuracy,Balanced_Acc,G-Mean,AUC,Gate_Final_σ(λ),Train_Time_Sec,Inference_Time_Sec,Peak_Memory_MB,Params_M,F1_Class_0,F1_Class_1,F1_Class_2,F1_Class_3,F1_Class_4,F1_Class_5
SMP2020,1000,LoRA-Ours,123,0.6983854854590077,0.6983854854590078,0.7033333333333334,0.7033333333333335,0.6877811060276394,0.9233733333333335,0.12451157718896866,151.49004364013672,1.5593433380126953,2059.6142578125,6.898318,0.6000000000000001,0.5979381443298969,0.7321428571428572,0.8510638297872342,0.8070175438596492,0.6021505376344087
SMP2020,1000,LoRA-Ours,789,0.7344363115069196,0.7344363115069196,0.7366666666666667,0.7366666666666667,0.7283364109911686,0.9196533333333332,0.1251872032880783,179.62324261665344,1.578852891921997,2061.6416015625,6.898318,0.7,0.6862745098039216,0.7962962962962963,0.8510638297872342,0.7522935779816514,0.6206896551724138
SMP2020,1000,LoRA-Ours,2024,0.7027354781964151,0.7027354781964152,0.71,0.71,0.6913876029463438,0.9028133333333334,0.12725839018821716,259.59756445884705,1.5594768524169922,2061.123046875,6.898318,0.6857142857142857,0.5617977528089888,0.7747747747747747,0.8399999999999999,0.736842105263158,0.6172839506172839
SMP2020,1000,LoRA-Ours,1001,0.7104448409101883,0.7104448409101883,0.71,0.7100000000000001,0.6999218885276665,0.9190666666666667,0.1252637803554535,161.26372456550598,1.5619597434997559,2060.76171875,6.898318,0.6262626262626263,0.52,0.8148148148148148,0.8602150537634408,0.7551020408163266,0.6862745098039216
SMP2020,1000,LoRA-Ours,45,0.7205470693732824,0.7205470693732823,0.7233333333333334,0.7233333333333333,0.7156959816521206,0.9188933333333332,0.12796661257743835,242.89256048202515,1.5607287883758545,2060.6455078125,6.898318,0.6521739130434783,0.64,0.7766990291262137,0.8235294117647058,0.7850467289719626,0.6458333333333334
SMP2020,2000,LoRA-Ours,123,0.7305574693720608,0.7305574693720608,0.7333333333333333,0.7333333333333334,0.7212670276974524,0.9308933333333332,0.5057737231254578,173.5101397037506,1.605778694152832,2030.2431640625,6.898318,0.6526315789473685,0.58,0.8148148148148148,0.8478260869565217,0.8141592920353983,0.6739130434782609
SMP2020,2000,LoRA-Ours,789,0.7364353048265798,0.73643530482658,0.7366666666666667,0.7366666666666667,0.7332315936389002,0.9309066666666667,0.5065545439720154,169.55037188529968,1.5587165355682373,2032.2431640625,6.898318,0.6666666666666666,0.6666666666666666,0.7777777777777777,0.836734693877551,0.7578947368421052,0.712871287128713
SMP2020,2000,LoRA-Ours,2024,0.7210349304679492,0.7210349304679492,0.7233333333333334,0.7233333333333333,0.7136632102930265,0.9351599999999999,0.5059476494789124,195.75517511367798,1.582446813583374,2031.4931640625,6.898318,0.6949152542372881,0.631578947368421,0.761904761904762,0.8316831683168315,0.7708333333333333,0.6352941176470589
SMP2020,2000,LoRA-Ours,1001,0.7345558312410114,0.7345558312410113,0.7366666666666667,0.7366666666666667,0.7269587366302077,0.9384666666666668,0.5039677619934082,239.26354718208313,1.6183578968048096,2028.2431640625,6.898318,0.6857142857142857,0.6138613861386139,0.8035714285714286,0.8247422680412372,0.8282828282828283,0.6511627906976745
SMP2020,2000,LoRA-Ours,45,0.752776249362268,0.7527762493622678,0.7533333333333333,0.7533333333333333,0.7473917637171024,0.9397733333333332,0.5061259269714355,180.1192409992218,1.558046817779541,2033.2431640625,6.898318,0.6732673267326733,0.6597938144329897,0.7850467289719626,0.8749999999999999,0.8431372549019608,0.6804123711340208
