Dataset,N,Method,Seed,Macro-F1,Weighted-F1,Accuracy,Balanced_Acc,G-Mean,AUC,Gate_Final_σ(λ),Train_Time_Sec,Inference_Time_Sec,Peak_Memory_MB,Params_M,F1_Class_0,F1_Class_1,F1_Class_2
TweetEval,1000,LoRA-Ours,45,0.666043937727106,0.666043937727106,0.6666666666666666,0.6666666666666666,0.6614598844419094,0.7838666666666666,0.5367863774299622,124.22867035865784,0.5743918418884277,2032.02978515625,6.893704,0.7524752475247525,0.5656565656565656,0.68
TweetEval,1000,LoRA-Ours,123,0.7003663003663004,0.7003663003663003,0.7,0.7000000000000001,0.6965270152938889,0.8338000000000001,0.533463716506958,81.24734830856323,0.6144955158233643,1958.5068359375,6.893704,0.7692307692307692,0.6285714285714286,0.7032967032967035
TweetEval,1000,LoRA-Ours,789,0.6835600085841514,0.6835600085841516,0.68,0.68,0.6798038650020998,0.8399333333333333,0.5359944701194763,87.38052201271057,0.5694541931152344,2466.5341796875,6.893704,0.7083333333333334,0.6055045871559633,0.7368421052631577
TweetEval,1000,LoRA-Ours,2024,0.6789250353606789,0.6789250353606789,0.68,0.68,0.6741833745722785,0.7994,0.5354868173599243,119.22149538993835,0.5975704193115234,2473.9716796875,6.893704,0.712871287128713,0.5714285714285714,0.7524752475247525
TweetEval,1000,LoRA-Ours,1001,0.7121806298276886,0.7121806298276886,0.7133333333333334,0.7133333333333334,0.7062407939907366,0.846,0.5340058207511902,84.91205906867981,0.5709877014160156,1922.900390625,6.893704,0.7272727272727272,0.6274509803921569,0.7818181818181817
TweetEval,2000,LoRA-Ours,45,0.6805152425354896,0.6805152425354896,0.6866666666666666,0.6866666666666666,0.6723950813597928,0.8210666666666667,0.49088233709335327,114.63875436782837,0.5758357048034668,2477.6484375,6.893704,0.7524752475247525,0.5617977528089888,0.7272727272727272
TweetEval,2000,LoRA-Ours,123,0.7290904342253706,0.7290904342253707,0.7333333333333333,0.7333333333333333,0.724620491031826,0.8325333333333331,0.49316370487213135,100.50798296928406,0.5871598720550537,2256.69140625,6.893704,0.7692307692307692,0.6516853932584269,0.7663551401869159
TweetEval,2000,LoRA-Ours,789,0.731345496808841,0.7313454968088412,0.7333333333333333,0.7333333333333334,0.7286608337584213,0.8190666666666667,0.4907872974872589,107.73042941093445,0.5767867565155029,2471.9140625,6.893704,0.7766990291262137,0.6526315789473685,0.7647058823529411
TweetEval,2000,LoRA-Ours,2024,0.7138112491373362,0.7138112491373361,0.72,0.7200000000000001,0.7066041636107893,0.8431333333333333,0.49468791484832764,83.70123314857483,0.5771565437316895,2500.0703125,6.893704,0.8035714285714286,0.6086956521739131,0.7291666666666667
TweetEval,2000,LoRA-Ours,1001,0.7264371040512425,0.7264371040512425,0.7266666666666667,0.7266666666666666,0.7223789622554675,0.8376666666666667,0.4950130581855774,89.76685070991516,0.6186633110046387,1978.66357421875,6.893704,0.816326530612245,0.6391752577319586,0.7238095238095238
